Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth
tests/big/sat/uf100-430/uf100-0130.cnf,true,526250,true,146911,146911,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0656.cnf,true,2182583,true,457053,457053,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0911.cnf,true,249917,true,40533,40533,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0905.cnf,true,812542,true,49896,49896,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0939.cnf,true,98750,true,6682,6682,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0736.cnf,true,1234083,true,316867,316867,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0722.cnf,true,1276084,true,573063,573063,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0291.cnf,true,776916,true,458338,458338,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0285.cnf,true,1333792,true,950496,950496,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0508.cnf,true,517667,true,112926,112926,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0252.cnf,true,574250,true,102752,102752,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0534.cnf,true,1200708,true,97363,97363,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0520.cnf,true,1347208,true,527048,527048,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0246.cnf,true,461708,true,58180,58180,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0536.cnf,true,423500,true,181401,181401,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0250.cnf,true,331292,true,3515,3515,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0244.cnf,true,1633833,true,320907,320907,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0522.cnf,true,305875,true,316454,316454,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0278.cnf,true,197458,true,467181,467181,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0293.cnf,true,255667,true,176293,176293,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0287.cnf,true,1299375,true,1467397,1467397,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0734.cnf,true,595875,true,131932,131932,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0720.cnf,true,1109750,true,299514,299514,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0708.cnf,true,1202083,true,558880,558880,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0913.cnf,true,888750,true,36468,36468,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0907.cnf,true,619084,true,950631,950631,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0126.cnf,true,891542,true,1102309,1102309,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0640.cnf,true,105583,true,248932,248932,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0898.cnf,true,369125,true,171722,171722,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0654.cnf,true,1896083,true,595965,595965,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0132.cnf,true,190333,true,6549,6549,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0668.cnf,true,1170583,true,7330,7330,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0683.cnf,true,1022542,true,260688,260688,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-011.cnf,true,781000,true,309166,309166,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0697.cnf,true,302416,true,177957,177957,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0867.cnf,true,365292,true,183572,183572,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0873.cnf,true,420625,true,173437,173437,0,1,"Torus(1, 1)",1000000
